Journal Name,ISSN,2021 JIF,eISSN,Category
JOURNAL OF CLINICAL INVESTIGATION,0021-9738,19.456,1558-8238,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)"
CRITICAL CARE,1364-8535,19.334,1466-609X,CRITICAL CARE MEDICINE - SCIE(Q1)
MOLECULAR CELL,1097-2765,19.328,1097-4164,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
Science Translational Medicine,1946-6234,19.319,1946-6242,"CELL BIOLOGY - SCIE(Q1); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)"
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,19.242,1535-7228,PSYCHIATRY - SSCI(Q1); PSYCHIATRY - SCIE(Q1)
Academy of Management Annals,1941-6520,19.241,1941-6067,MANAGEMENT - SSCI(Q1); BUSINESS - SSCI(Q1)
BRAIN BEHAVIOR AND IMMUNITY,0889-1591,19.227,1090-2139,NEUROSCIENCES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1); PSYCHIATRY - SCIE(Q1)
Trends in Cancer,2405-8025,19.161,2405-8033,ONCOLOGY - SCIE(Q1)
NUCLEIC ACIDS RESEARCH,0305-1048,19.16,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
IEEE Transactions on Cybernetics,2168-2267,19.118,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1); COMPUTER SCIENCE, CYBERNETICS - SCIE(Q1); AUTOMATION & CONTROL SYSTEMS - SCIE(Q1)"
Nature Ecology & Evolution,2397-334X,19.1,2397-334X,ECOLOGY - SCIE(Q1); EVOLUTIONARY BIOLOGY - SCIE(Q1)
Nano Energy,2211-2855,19.069,2211-3282,"CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
QUARTERLY JOURNAL OF ECONOMICS,0033-5533,19.013,1531-4650,ECONOMICS - SSCI(Q1)
KIDNEY INTERNATIONAL,0085-2538,18.998,1523-1755,UROLOGY & NEPHROLOGY - SCIE(Q1)
Nano Today,1748-0132,18.962,1878-044X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,0268-4012,18.958,1873-4707,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1)
PHARMACOLOGICAL REVIEWS,0031-6997,18.923,1521-0081,PHARMACOLOGY & PHARMACY - SCIE(Q1)
Molecular Neurodegeneration,N/A,18.879,1750-1326,NEUROSCIENCES - SCIE(Q1)
ACS Central Science,2374-7943,18.728,2374-7951,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
NEURON,0896-6273,18.688,1097-4199,NEUROSCIENCES - SCIE(Q1)
BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,18.473,1473-0480,SPORT SCIENCES - SCIE(Q1)
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,18.361,1545-9985,BIOPHYSICS - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1)
TRENDS IN MICROBIOLOGY,0966-842X,18.23,1878-4380,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)
ACS Nano,1936-0851,18.027,1936-086X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,18,1758-1095,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Annual Review of Environment and Resources,1543-5938,17.909,1545-2050,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)
GENOME BIOLOGY,1474-760X,17.906,1474-760X,GENETICS & HEREDITY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,17.873,1872-8294,PHARMACOLOGY & PHARMACY - SCIE(Q1)
REPORTS ON PROGRESS IN PHYSICS,0034-4885,17.802,1361-6633,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
Annual Review of Nuclear and Particle Science,0163-8998,17.727,1545-4134,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1); PHYSICS, NUCLEAR - SCIE(Q1)"
Nature Communications,N/A,17.694,2041-1723,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
BIOTECHNOLOGY ADVANCES,0734-9750,17.681,1873-1899,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,17.66,1879-0305,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,17.638,1873-3735,PHARMACOLOGY & PHARMACY - SCIE(Q1)
JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,17.579,1540-9538,"IMMUNOLOGY - SCIE(Q1); MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)"
Information Fusion,1566-2535,17.564,1872-6305,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
Advanced Science,N/A,17.521,2198-3844,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Advances in Applied Mechanics,0065-2156,17.4,N/A,"ENGINEERING, MECHANICAL - SCIE(Q1); MECHANICS - SCIE(Q1)"
AUTOIMMUNITY REVIEWS,1568-9972,17.39,1873-0183,IMMUNOLOGY - SCIE(Q1)
Nature Plants,2055-026X,17.352,2055-0278,PLANT SCIENCES - SCIE(Q1)
EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,17.349,1879-0844,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
Journal of Extracellular Vesicles,N/A,17.337,2001-3078,CELL BIOLOGY - SCIE(Q1)
HEPATOLOGY,0270-9139,17.298,1527-3350,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
HUMAN REPRODUCTION UPDATE,1355-4786,17.179,1460-2369,REPRODUCTIVE BIOLOGY - SCIE(Q1); OBSTETRICS & GYNECOLOGY - SCIE(Q1)
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,17.176,1873-2739,"CHEMISTRY, PHYSICAL - SCIE(Q1)"
DIABETES CARE,0149-5992,17.152,1935-5548,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
EClinicalMedicine,N/A,17.033,2589-5370,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Nature Protocols,1754-2189,17.021,1750-2799,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1)
SEMINARS IN CANCER BIOLOGY,1044-579X,17.012,1096-3650,ONCOLOGY - SCIE(Q1)
Cell Reports Medicine,2666-3791,16.988,2666-3791,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1)"
TRENDS IN NEUROSCIENCES,0166-2236,16.978,1878-108X,NEUROSCIENCES - SCIE(Q1)
Bioactive Materials,N/A,16.874,2452-199X,"ENGINEERING, BIOMEDICAL - SCIE(Q1); MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q1)"
CANADIAN MEDICAL ASSOCIATION JOURNAL,0820-3946,16.859,1488-2329,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Microbiome,2049-2618,16.837,2049-2618,MICROBIOLOGY - SCIE(Q1)
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,16.823,1521-3773,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,16.799,1879-0690,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)
CHEMICAL ENGINEERING JOURNAL,1385-8947,16.744,1873-3212,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1)"
JAMA Surgery,2168-6254,16.681,2168-6262,SURGERY - SCIE(Q1)
Alzheimers & Dementia,1552-5260,16.655,1552-5279,CLINICAL NEUROLOGY - SCIE(Q1)
Annual Review of Marine Science,1941-1405,16.561,1941-0611,MARINE & FRESHWATER BIOLOGY - SCIE(Q1); OCEANOGRAPHY - SCIE(Q1); GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1)
Mycosphere,2077-7000,16.525,2077-7000,MYCOLOGY - SCIE(Q1)
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,16.497,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)"
CURRENT PROBLEMS IN CARDIOLOGY,0146-2806,16.464,1535-6280,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
Annual Review of Pharmacology and Toxicology,0362-1642,16.459,1545-4304,TOXICOLOGY - SCIE(Q1); PHARMACOLOGY & PHARMACY - SCIE(Q1)
Nature Reviews Urology,1759-4812,16.43,1759-4820,UROLOGY & NEPHROLOGY - SCIE(Q1)
Journal of the American Chemical Society,0002-7863,16.383,1520-5126,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
AMERICAN PSYCHOLOGIST,0003-066X,16.358,1935-990X,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)"
MOLECULAR ASPECTS OF MEDICINE,0098-2997,16.337,1872-9452,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)"
Annual Review of Earth and Planetary Sciences,0084-6597,16.304,1545-4495,"ASTRONOMY & ASTROPHYSICS - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
Annual Review of Microbiology,0066-4227,16.232,1545-3251,MICROBIOLOGY - SCIE(Q1)
Nature Chemical Biology,1552-4450,16.174,1552-4469,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,16.161,1532-7957,"PSYCHOLOGY, SOCIAL - SSCI(Q1)"
EMERGING INFECTIOUS DISEASES,1080-6040,16.126,1080-6059,INFECTIOUS DISEASES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1)
Lancet HIV,2352-3018,16.07,2352-3018,INFECTIOUS DISEASES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1)
JACC-Cardiovascular Imaging,1936-878X,16.051,1876-7591,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)"
Annual Review of Medicine,0066-4219,16.048,1545-326X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)"
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,1538-7933,16.036,1538-7836,HEMATOLOGY - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1)
TRENDS IN FOOD SCIENCE & TECHNOLOGY,0924-2244,16.002,1879-3053,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1)
ACTA NEUROPATHOLOGICA,0001-6322,15.887,1432-0533,CLINICAL NEUROLOGY - SCIE(Q1); NEUROSCIENCES - SCIE(Q1); PATHOLOGY - SCIE(Q1)
Biomaterials Research,1226-4601,15.863,2055-7124,"ENGINEERING, BIOMEDICAL - SCIE(Q1); MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q1)"
Advances in Methods and Practices in Psychological Science,2515-2459,15.817,2515-2467,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1); PSYCHOLOGY - SCIE(Q1)"
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1541-4337,15.786,1541-4337,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1)
INTERNATIONAL MATERIALS REVIEWS,0950-6608,15.75,1743-2804,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Materials Horizons,2051-6347,15.717,2051-6355,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Nature Astronomy,2397-3366,15.647,2397-3366,ASTRONOMY & ASTROPHYSICS - SCIE(Q1)
ACTA NUMERICA,0962-4929,15.583,1474-0508,MATHEMATICS - SCIE(Q1)
Annual Review of Neuroscience,0147-006X,15.553,1545-4126,NEUROSCIENCES - SCIE(Q1)
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,0190-9622,15.487,1097-6787,DERMATOLOGY - SCIE(Q1)
Arthritis & Rheumatology,2326-5191,15.483,2326-5205,RHEUMATOLOGY - SCIE(Q1)
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,0924-8579,15.441,1872-7913,PHARMACOLOGY & PHARMACY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)
Small Methods,2366-9608,15.367,2366-9608,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1)"
JOURNAL OF MARKETING,0022-2429,15.36,1547-7185,BUSINESS - SSCI(Q1)
npj Digital Medicine,2398-6352,15.357,2398-6352,HEALTH CARE SCIENCES & SERVICES - SCIE(Q1); MEDICAL INFORMATICS - SCIE(Q1)
Protein & Cell,1674-800X,15.328,1674-8018,CELL BIOLOGY - SCIE(Q1)
BIOMATERIALS,0142-9612,15.304,1878-5905,"MATERIALS SCIENCE, BIOMATERIALS - SCIE(Q1); ENGINEERING, BIOMEDICAL - SCIE(Q1)"
Cancer Communications,N/A,15.283,2523-3548,ONCOLOGY - SCIE(Q1)
TRENDS IN MOLECULAR MEDICINE,1471-4914,15.272,1471-499X,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1)"
Genome Medicine,1756-994X,15.266,1756-994X,GENETICS & HEREDITY - SCIE(Q1)
BRAIN,0006-8950,15.255,1460-2156,NEUROSCIENCES - SCIE(Q1); CLINICAL NEUROLOGY - SCIE(Q1)
IEEE SIGNAL PROCESSING MAGAZINE,1053-5888,15.204,1558-0792,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,15.19,1873-3727,"CHEMISTRY, PHYSICAL - SCIE(Q1)"
FEMS MICROBIOLOGY REVIEWS,0168-6445,15.177,1574-6976,MICROBIOLOGY - SCIE(Q1)
Small,1613-6810,15.153,1613-6829,"PHYSICS, APPLIED - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1)"
NATURAL PRODUCT REPORTS,0265-0568,15.111,1460-4752,"CHEMISTRY, ORGANIC - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); CHEMISTRY, MEDICINAL - SCIE(Q1)"
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,14.978,1533-3450,UROLOGY & NEPHROLOGY - SCIE(Q1)
Science Advances,2375-2548,14.957,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
One Earth,2590-3330,14.944,2590-3322,ENVIRONMENTAL STUDIES - SSCI(Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)
ECONOMIC GEOGRAPHY,0013-0095,14.921,1944-8287,GEOGRAPHY - SSCI(Q1); ECONOMICS - SSCI(Q1)
PROCEEDINGS OF THE IEEE,0018-9219,14.91,1558-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,0165-9936,14.908,1879-3142,"CHEMISTRY, ANALYTICAL - SCIE(Q1)"
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,14.904,1552-7824,BUSINESS - SSCI(Q1)
Acta Pharmaceutica Sinica B,2211-3835,14.903,2211-3843,PHARMACOLOGY & PHARMACY - SCIE(Q1)
Annual Review of Food Science and Technology,1941-1413,14.714,1941-1421,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1)
ALLERGY,0105-4538,14.71,1398-9995,IMMUNOLOGY - SCIE(Q1); ALLERGY - SCIE(Q1)
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,0963-8687,14.682,1873-1198,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1); MANAGEMENT - SSCI(Q1); INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q1)"
AMERICAN JOURNAL OF BIOETHICS,1526-5161,14.676,1536-0075,"SOCIAL ISSUES - SSCI(Q1); ETHICS - SSCI(Q1); SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q1); MEDICAL ETHICS - SCIE(Q1)"
PROGRESS IN LIPID RESEARCH,0163-7827,14.673,1873-2194,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); NUTRITION & DIETETICS - SCIE(Q1)
JMIR Public Health and Surveillance,2369-2960,14.557,2369-2960,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)"
Analytic Methods in Accident Research,2213-6657,14.556,2213-6665,"TRANSPORTATION - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)"
Polymer Reviews,1558-3724,14.536,1558-3716,POLYMER SCIENCE - SCIE(Q1)
Journal of Materials Chemistry A,2050-7488,14.511,2050-7496,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
JOURNAL OF AUTOIMMUNITY,0896-8411,14.511,1095-9157,IMMUNOLOGY - SCIE(Q1)
JOURNAL OF CLINICAL VIROLOGY,1386-6532,14.481,1873-5967,VIROLOGY - SCIE(Q1)
Physical Review X,2160-3308,14.417,2160-3308,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
npj Regenerative Medicine,N/A,14.404,2057-3995,"ENGINEERING, BIOMEDICAL - SCIE(Q1); CELL & TISSUE ENGINEERING - SCIE(Q1)"
BIOLOGICAL REVIEWS,1464-7931,14.35,1469-185X,BIOLOGY - SCIE(Q1)
Annual Review of Ecology Evolution and Systematics,1543-592X,14.34,1545-2069,ECOLOGY - SCIE(Q1); EVOLUTIONARY BIOLOGY - SCIE(Q1)
ACM COMPUTING SURVEYS,0360-0300,14.324,1557-7341,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1)"
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,14.29,1097-6825,IMMUNOLOGY - SCIE(Q1); ALLERGY - SCIE(Q1)
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1569-1705,14.284,1572-9826,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)
OPHTHALMOLOGY,0161-6420,14.277,1549-4713,OPHTHALMOLOGY - SCIE(Q1)
TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,14.264,1362-4326,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
Annual Review of Virology,2327-056X,14.263,2327-0578,VIROLOGY - SCIE(Q1)
EMBO Molecular Medicine,1757-4676,14.26,1757-4684,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1)"
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,14.255,2162-2388,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1); COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q1)"
JOURNAL OF HAZARDOUS MATERIALS,0304-3894,14.224,1873-3336,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"
COMMUNICATIONS OF THE ACM,0001-0782,14.065,1557-7317,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q1); COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q1); COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q1)"
ARTIFICIAL INTELLIGENCE,0004-3702,14.05,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,14.04,1460-2393,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Journal of Pharmaceutical Analysis,2095-1779,14.026,2214-0883,PHARMACOLOGY & PHARMACY - SCIE(Q1)
EMBO JOURNAL,0261-4189,14.012,1460-2075,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
BRIEFINGS IN BIOINFORMATICS,1467-5463,13.994,1477-4054,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1); MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q1)
IEEE Transactions on Affective Computing,1949-3045,13.99,1949-3045,"COMPUTER SCIENCE, CYBERNETICS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
Annual Review of Materials Research,1531-7331,13.972,1545-4118,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
METABOLISM-CLINICAL AND EXPERIMENTAL,0026-0495,13.934,1532-8600,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
IEEE Geoscience and Remote Sensing Magazine,2473-2397,13.925,2168-6831,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q1); REMOTE SENSING - SCIE(Q1)
Asian Journal of Psychiatry,1876-2018,13.89,1876-2026,PSYCHIATRY - SCIE(Q1)
ACADEMY OF MANAGEMENT REVIEW,0363-7425,13.865,1930-3807,MANAGEMENT - SSCI(Q1); BUSINESS - SSCI(Q1)
REMOTE SENSING OF ENVIRONMENT,0034-4257,13.85,1879-0704,ENVIRONMENTAL SCIENCES - SCIE(Q1); REMOTE SENSING - SCIE(Q1); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - SCIE(Q1)
BULLETIN OF THE WORLD HEALTH ORGANIZATION,0042-9686,13.831,1564-0604,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)"
MEDICAL IMAGE ANALYSIS,1361-8415,13.828,1361-8423,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1); ENGINEERING, BIOMEDICAL - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
Annual Review of Genetics,0066-4197,13.826,1545-2948,GENETICS & HEREDITY - SCIE(Q1)
CLINICAL CANCER RESEARCH,1078-0432,13.801,1557-3265,ONCOLOGY - SCIE(Q1)
ANNALS OF SURGERY,0003-4932,13.787,1528-1140,SURGERY - SCIE(Q1)
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,13.78,1540-9309,ENVIRONMENTAL SCIENCES - SCIE(Q1); ECOLOGY - SCIE(Q1)
RESOURCES CONSERVATION AND RECYCLING,0921-3449,13.716,1879-0658,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"
JOURNAL OF ANXIETY DISORDERS,0887-6185,13.711,1873-7897,"PSYCHIATRY - SSCI(Q1); PSYCHOLOGY, CLINICAL - SSCI(Q1)"
ACS Catalysis,2155-5435,13.7,2155-5435,"CHEMISTRY, PHYSICAL - SCIE(Q1)"
eTransportation,2590-1168,13.661,2590-1168,"TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,13.654,1468-330X,CLINICAL NEUROLOGY - SCIE(Q1); SURGERY - SCIE(Q1); PSYCHIATRY - SCIE(Q1)
Trends in Environmental Analytical Chemistry,2214-1588,13.622,2214-1588,"CHEMISTRY, ANALYTICAL - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"
Environmental Chemistry Letters,1610-3653,13.615,1610-3661,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"
IEEE Vehicular Technology Magazine,1556-6072,13.609,1556-6080,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); TELECOMMUNICATIONS - SCIE(Q1); TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1)"
CANCER TREATMENT REVIEWS,0305-7372,13.608,1532-1967,ONCOLOGY - SCIE(Q1)
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,0161-4940,13.6,1520-5703,"CHEMISTRY, PHYSICAL - SCIE(Q1)"
Journal of Energy Chemistry,2095-4956,13.599,2095-4956,"CHEMISTRY, APPLIED - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)"
Advanced Photonics,N/A,13.582,2577-5421,OPTICS - SCIE(Q1)
Clinical Gastroenterology and Hepatology,1542-3565,13.576,1542-7714,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
JOURNAL OF HEART AND LUNG TRANSPLANTATION,1053-2498,13.569,1557-3117,TRANSPLANTATION - SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1); SURGERY - SCIE(Q1); RESPIRATORY SYSTEM - SCIE(Q1)
REVIEW OF EDUCATIONAL RESEARCH,0034-6543,13.551,1935-1046,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1)
Evidence-Based Mental Health,1362-0347,13.538,1468-960X,PSYCHIATRY - SCIE(Q1)
